time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,EMA,MA,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,Volume,Volume MA,MA,MA,MA,Histogram,MACD,Signal,RSI
2020-04-19T22:00:00Z,2861.5,2875.5,2804.25,2806.5,2044.28125,2634.145833333333,1801.3958333333333,2709.2736901750955,2802.999999999992,2472.538965135458,NaN,NaN,NaN,NaN,NaN,2836.9375,1566934,2135953.35,NaN,2610.3214285714303,3029.7566666666603,46.61708068313463,22.34253868716496,-24.27454199596967,54.4656897433389
2020-04-20T22:00:00Z,2807,2833.25,2717.25,2732,2044.28125,2634.145833333333,1801.3958333333333,2711.3397183409957,2796.178571428563,2472.538965135458,NaN,NaN,NaN,NaN,NaN,2772.375,1969844,2080606,NaN,2631.440476190478,3027.9599999999937,35.55796022753528,20.172908288449435,-15.38505193908585,50.63325622847395
2020-04-21T22:00:00Z,2737.25,2808,2717.25,2788.5,2044.28125,2634.145833333333,1801.3958333333333,2718.354289400905,2800.357142857134,2472.538965135458,NaN,NaN,NaN,NaN,NaN,2762.75,1369529,2017106.35,NaN,2658.488095238097,3026.4966666666605,30.508271332340584,22.75028722633988,-7.757984106000704,53.316101324716534
2020-04-22T22:00:00Z,2790.5,2836.75,2772.75,2780.75,2044.28125,2634.145833333333,1801.3958333333333,2724.0266267280954,2791.4642857142767,2472.538965135458,NaN,NaN,NaN,NaN,NaN,2795.1875,1703918,1950413.9,NaN,2674.809523809525,3024.978333333327,25.32007133143246,23.89210505828987,-1.4279662731425882,52.891496515400995
2020-04-23T22:00:00Z,2777,2835,2755.25,2829.5,2044.28125,2634.145833333333,1801.3958333333333,2733.6151152073594,2799.2499999999914,2472.538965135458,NaN,NaN,NaN,NaN,NaN,2799.1875,1293756,1894406.05,NaN,2692.07142857143,3023.788333333327,23.86501771142083,28.40330586613345,4.53828815471262,55.30286621783202
2020-04-26T22:00:00Z,2829,2881.25,2812.75,2869,2044.28125,2634.145833333333,1801.3958333333333,2745.9228320066904,2810.8928571428482,2529.777939772837,NaN,NaN,NaN,NaN,NaN,2848,1224445,1839590.55,NaN,2704.5000000000014,3022.9849999999938,24.18139764194012,34.76503520713777,10.583637565197652,57.21392522433197
2020-04-27T22:00:00Z,2867.75,2913.5,2851,2867.25,2044.28125,2634.145833333333,1801.3958333333333,2756.9525745515366,2810.4999999999914,2578.000145795553,NaN,NaN,NaN,NaN,NaN,2874.875,1614021,1828407,NaN,2720.8452380952394,3022.119999999994,22.903899715711894,39.21351220983752,16.309612494125624,57.097449139330855
2020-04-28T22:00:00Z,2870.5,2959.75,2860.75,2941,2044.28125,2634.145833333333,1801.3958333333333,2773.684158683215,2829.7142857142767,2606.725131215998,NaN,NaN,NaN,NaN,NaN,2908,1737371,1802874.95,NaN,2736.5476190476206,3021.924999999994,25.460389577476708,48.13509946597151,22.6747098884948,60.726119323757636
2020-04-29T22:00:00Z,2956.5,2965,2878,2902.5,2044.28125,2634.145833333333,1801.3958333333333,2785.3946897120136,2854.0714285714203,2622.227618094398,NaN,NaN,NaN,NaN,NaN,2925.5,2027924,1799702.25,NaN,2752.3928571428587,3021.3666666666604,23.064371143629266,51.50517381803138,28.440802674402114,57.96967857194721
2020-04-30T22:00:00Z,2871.5,2879.75,2811.75,2821.75,2044.28125,2634.145833333333,1801.3958333333333,2788.6997179200125,2858.82142857142,2622.227618094398,NaN,NaN,NaN,NaN,NaN,2846.1875,1647259,1774792.3,NaN,2770.190476190477,3020.308333333327,14.940955038081384,47.11699647200385,32.176041433922464,52.578904268475895
2020-05-03T22:00:00Z,2789,2835.75,2771,2825.25,2044.28125,2634.145833333333,1801.3958333333333,2792.022470836375,2865.1785714285625,2622.227618094398,NaN,NaN,NaN,NaN,NaN,2805.25,1510680,1762132,NaN,2784.8928571428587,3019.384999999994,8.996144643466607,43.42122223825572,34.425077594789116,52.783855708117
2020-05-04T22:00:00Z,2827,2889.75,2824.5,2858.25,2044.28125,2634.145833333333,1801.3958333333333,2798.043155305795,2869.2857142857056,2622.227618094398,NaN,NaN,NaN,NaN,NaN,2849.875,1474765,1734149.3,NaN,2802.773809523811,3018.583333333327,6.590595935323151,42.66332251394306,36.07272657861991,54.76879892584463
2020-05-05T22:00:00Z,2857.75,2886.25,2832,2833.5,2044.28125,2634.145833333333,1801.3958333333333,2801.2665048234503,2864.2142857142776,2622.227618094398,NaN,NaN,NaN,NaN,NaN,2852.375,1466641,1683155.15,NaN,2811.773809523811,3017.8883333333274,2.8289993368813526,39.608975749721594,36.77997641284024,52.97019680351353
2020-05-06T22:00:00Z,2832,2895,2823,2880,2044.28125,2634.145833333333,1801.3958333333333,2808.424095294046,2866.035714285706,2622.227618094398,NaN,NaN,NaN,NaN,NaN,2857.5,1494330,1661837.25,NaN,2823.107142857144,3017.8849999999943,2.955207986519703,40.47398639598987,37.518778409470166,55.90040778196908
2020-05-07T22:00:00Z,2882,2933,2879.75,2928.5,2044.28125,2634.145833333333,1801.3958333333333,2819.3400866309507,2864.249999999992,2655.640628337705,NaN,NaN,NaN,NaN,NaN,2905.8125,1326254,1611013.3,NaN,2832.32142857143,3017.996666666661,5.632501391243871,44.559405148525,38.92690375728113,58.78481424747166
2020-05-10T22:00:00Z,2920.75,2947,2889.75,2922.75,2044.28125,2634.145833333333,1801.3958333333333,2828.740987846319,2867.1428571428487,2675.5390655039346,NaN,NaN,NaN,NaN,NaN,2920.0625,1528302,1608858.3,NaN,2839.1309523809537,3017.8083333333275,6.293471281321132,46.793742858932546,40.500271577611414,58.297974373652295
2020-05-11T22:00:00Z,2919.25,2939.25,2838,2852.5,2044.28125,2634.145833333333,1801.3958333333333,2830.900898042108,2871.535714285706,2675.5390655039346,NaN,NaN,NaN,NaN,NaN,2887.25,1824303,1614248.65,NaN,2843.57142857143,3017.241666666661,1.5254161109288589,42.40704171627249,40.88162560534363,52.56974941664985
2020-05-12T22:00:00Z,2839.75,2876.75,2786,2813,2044.28125,2634.145833333333,1801.3958333333333,2829.273543674644,2869.785714285706,2675.5390655039346,NaN,NaN,NaN,NaN,NaN,2828.875,2591379,1652239.1,NaN,2842.1428571428582,3016.7116666666607,-4.4365810282858575,35.33589931998631,39.77248034827217,49.61760340291772
2020-05-13T22:00:00Z,2820.25,2853.75,2760.25,2847,2044.28125,2634.145833333333,1801.3958333333333,2830.8850397042215,2868.1785714285625,2675.5390655039346,NaN,NaN,NaN,NaN,NaN,2820.3125,2501222,1689844.8,NaN,2845.57142857143,3016.231666666661,-6.133669965098818,32.105392891898646,38.239062856997464,52.110524387974316
2020-05-14T22:00:00Z,2846.25,2863.5,2809.5,2846.5,2044.28125,2634.145833333333,1801.3958333333333,2832.3045815492924,2870.035714285706,2675.5390655039346,NaN,NaN,NaN,NaN,NaN,2841.4375,1897194,1688503.55,NaN,2848.380952380953,3015.601666666661,-7.256362386418957,29.168609873973764,36.42497226039272,52.06972151748751
2020-05-17T22:00:00Z,2859.75,2964.75,2850,2948,2044.28125,2634.145833333333,1801.3958333333333,2842.822346862993,2879.749999999992,2675.5390655039346,NaN,NaN,NaN,NaN,NaN,2905.625,1775433,1698928.5,NaN,2852.095238095239,3015.4499999999944,-1.4342403807597606,34.63217178444302,36.06641216520278,59.075127786113526
2020-05-18T22:00:00Z,2945,2976.25,2914.25,2918.75,2044.28125,2634.145833333333,1801.3958333333333,2849.724860784539,2878.357142857135,2696.3006218854766,NaN,NaN,NaN,NaN,NaN,2938.5625,1567224,1678797.5,NaN,2857.440476190477,3015.1383333333274,0.09466088796490624,36.18473827515891,36.090077387194,56.5117837322601
2020-05-19T22:00:00Z,2913.5,2975.75,2908.5,2968.5,2044.28125,2634.145833333333,1801.3958333333333,2860.5226007132173,2884.892857142849,2697.895559696929,NaN,NaN,NaN,NaN,NaN,2941.5625,1532404,1686941.25,NaN,2868.702380952382,3014.9433333333277,3.8938867316737884,40.95743580178623,37.063549070112444,59.71371052852022
2020-05-20T22:00:00Z,2972.25,2973.5,2933,2937,2044.28125,2703.5416666666665,1801.3958333333333,2867.4750915574705,2896.964285714278,2721.293503727236,NaN,NaN,NaN,NaN,NaN,2953.9375,1608225,1682156.6,NaN,2875.7738095238105,3014.579999999994,3.722886198137722,41.7171568177846,37.994270619646876,56.85913083152954
2020-05-21T22:00:00Z,2936.75,2957.5,2903.75,2953,2044.28125,2703.5416666666665,1801.3958333333333,2875.2500832340643,2916.9642857142785,2721.293503727236,NaN,NaN,NaN,NaN,NaN,2937.75,1377263,1686331.95,NaN,2883.9761904761917,3014.2799999999943,4.095242638574717,43.11332391786527,39.018081279290556,57.9584922935937
2020-05-25T22:00:00Z,2948.5,3019.75,2947.5,2994.5,2044.28125,2703.5416666666665,1801.3958333333333,2886.09098475824,2938.0357142857065,2759.552738019061,NaN,NaN,NaN,NaN,NaN,2977.5625,1797241,1714971.75,NaN,2891.8333333333344,3014.321666666661,6.4066617048217935,47.0264084103178,40.619746705496006,60.7521925985243
